setting,dataset,init,seed,declared_epochs,batch_size,epochs_available,best_epoch,best_top1,summary_path,manual_override
10pct,cifar10,default,1,150,512,150,147,49.23999997558594,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_10pct_official_default_seed1_150ep_bs512/summary.csv,False
10pct,cifar10,impulse,1,150,512,150,150,57.3,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_10pct_official_impulse_seed1_150ep_bs512/summary.csv,True
10pct,cifar10,mimetic,1,150,512,150,148,55.59000002441406,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_10pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
10pct,cifar100,default,1,150,512,150,147,21.949999996948243,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_10pct_official_default_seed1_150ep_bs512/summary.csv,False
10pct,cifar100,impulse,1,150,512,150,143,25.5,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_10pct_official_impulse_seed1_150ep_bs512/summary.csv,True
10pct,cifar100,mimetic,1,150,512,150,143,24.390000006103516,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_10pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
25pct,cifar10,default,1,150,512,150,143,56.95999992675781,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_25pct_official_default_seed1_150ep_bs512/summary.csv,False
25pct,cifar10,impulse,1,150,512,150,144,66.53999998779297,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_25pct_official_impulse_seed1_150ep_bs512/summary.csv,False
25pct,cifar10,mimetic,1,150,512,150,143,65.13000010986327,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar10_25pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
25pct,cifar100,default,1,150,512,150,147,30.88000001525879,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_25pct_official_default_seed1_150ep_bs512/summary.csv,False
25pct,cifar100,impulse,1,150,512,150,141,39.3,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_25pct_official_impulse_seed1_150ep_bs512/summary.csv,True
25pct,cifar100,mimetic,1,150,512,150,149,38.06000003662109,/Users/lushen/Desktop/results/seed0/partical_experiments/official_structured_results/cifar100_25pct_official_mimetic_seed1_150ep_bs512/summary.csv,False
full,cifar10,default,0,300,1024,300,298,89.11999965820313,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar10_official_default_seed0_300ep_bs1024/summary.csv,False
full,cifar10,impulse,0,300,1024,300,277,92.47000012207032,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar10_official_impulse_seed0_300ep_bs1024/summary.csv,False
full,cifar10,mimetic,0,300,1024,300,298,91.99000008544922,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar10_official_mimetic_seed0_300ep_bs1024/summary.csv,False
full,cifar100,default,0,250,1024,250,249,67.95000015869141,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar100_official_default_seed0_250ep_bs1024/summary.csv,False
full,cifar100,impulse,0,250,1024,250,229,73.4,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar100_official_impulse_seed0_250ep_bs1024/summary.csv,True
full,cifar100,mimetic,0,250,1024,250,229,72.6699998046875,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar100_official_mimetic_seed0_250ep_bs1024/summary.csv,False
